TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL,FAIL_COUNT,NYQUIST_GROUP,NYQUIST_PROPOSED_RATE
Power,SwitchOver_PPVBUS_ORION_9V,PPVBUS_PROT,,orion.dmm,10000,PPVBUS_PROT,,mV,4750,5250,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,PPVBUS_ORION,,orion.dmm,10000,PPVBUS_ORION_CONN,,mV,8900,9100,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,PPVBUS_ORION_Dis_VBUS_5V,disconnected PPVBUS_ORION_CONN,relay.relay,10000,PPVBUS_ORION_CONN,DISCONNECT,,,,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,PPVBUS_ORION_VBUS_ORion_Disconnect,,dmm.readsmallvolt,10000,PPVBUS_ORION_CONN,,mV,,,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,PPVBUS_USB_PWR_Disconnect,disconnected PPVBUS_USB_PWR,relay.relay,10000,PPVBUS_USB_PWR,DISCONNECT,,,,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,Disable_OAB3_PULL_UP_2,OAB3 pull up disable,fixture.sendcmd,10000,oab3 io set(PULL_UP*0),ACK,,,,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,PPVBUS_ORION_Dis,disconnected PPVBUS_ORION_CONN,relay.relay,10000,PPVBUS_ORION_CONN,DISCONNECT,,,,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,ORION_COMM_CONN_Dis,disconnected ORION_COMM,relay.relay,10000,ORION_COMM_CONN,DISCONNECT,,,,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Power,SwitchOver_PPVBUS_ORION_9V,5V0_To_VDM_EXT,Change_VDM_PDO1_TO_PP_HEV,fixture.sendcmd,10000,change tx source voltage(1*5000*3500*PP_HVE),ACK,,,,,,,Power_SwitchOver_PPVBUS_ORION_9V,100
Orion,ProviderModeLSAIDcomms_Boost5V,PPVBUS_ORION_To_OAB3,PPVBUS_ORION_CONN connected to OAB3,relay.relay,10000,PPVBUS_ORION_CONN,CONNECT,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,ORION_COMM_CONN_To_OAB3,ORION_COMM_CONN connected to OAB3,relay.relay,10000,ORION_COMM_CONN,CONNECT,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Disconnect_USB_power,PPVBUS_USB_PWR disconnected,relay.relay,10000,PPVBUS_USB_PWR,DISCONNECT,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,PPVBUS_ORION_FB_Dis,disconnected PPVBUS_ORION_CONN ADC sense,relay.relay,10000,PPVBUS_ORION_FB,DISCONNECT,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Reset_OAB_Resistor,disconnected the OAB3 150K resistor,relay.relay,10000,CONTAMINATION_TEST_SEL,DISCONNECT,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,ACE_CC1_Disconnect,disconnected ACE_CC1,relay.relay,10000,VDM_CC1,DISCONNECT,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,aid_fw_control_WAITFORID,Waite for AID,fixture.sendcmd,10000,aid fw control(WAITFORID),ACK,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,TX_EN_1,OAB3 TX enable,fixture.sendcmd,10000,oab3 io set(TX_EN*1),ACK,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Disable_OAB3_PULL_DOWN_1,OAB3 pull down disable,fixture.sendcmd,10000,oab3 io set(PULL_DOWN*0),ACK,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,VBUS_OFF_Output,PPVBUS_USB disconnect,relay.relay,10000,PPVBUS_USB_PWR,DISCONNECT,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Set_Vbat_To_4.3V_output,Setting battery voltage to 4.3V,powerboard.setbattvolt,10000,4.3,,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Disable_OAB3_PULL_UP_1,OAB3 pull up disable,fixture.sendcmd,10000,oab3 io set(PULL_UP*0),ACK,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Bellatrix_HWReset_3,GPIO_AOP_TO_ORION_HWEN set to 0/1 and i2c -v 2 0x13 0x00 0x80,orion.diags,10000,i2c -v 2 0x13 0x00 0x81;socgpio --pin 139 --output 0;socgpio --pin 453 --output 0;socgpio --pin 453 --output 1;i2c -v 2 0x13 0x00 0x80;i2c -v 2 0x13 0x00 0x80;socgpio --pin 139 --output 1,,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Bellatrix_HWReset_4,GPIO_AOP_TO_ORION_HWEN set to 0/1 and i2c -v 2 0x13 0x00 0x80,orion.diags,10000,i2c -v 2 0x13 0x00 0x81;socgpio --pin 139 --output 0;socgpio --pin 453 --output 0;socgpio --pin 453 --output 1;i2c -v 2 0x13 0x00 0x80;i2c -v 2 0x13 0x00 0x80;socgpio --pin 139 --output 1,,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Enable_OAB3_PULL_DOWN_output,OAB3 pull down enable,fixture.sendcmd,10000,oab3 io set(PULL_DOWN*1),ACK,,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Delay_100MS_1,delay 100ms,delay.delay,10000,100,,ms,,,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,Check_Status,Indicates the POWER IN state of Bellatrix,orion.diags_parse,10000,i2c -d 2 0x13 0x1A 1,,,9,9,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,GetID,get the orion communicate result: 0x75  0x1A  0x2B  0x3C  0x4D  0x5E  0x6F  0xF4,orion.diags_parse,10000,i2c -d 2 0x13 0x74 8,NOPDCA,,--PASS--NOPDCA--0x75  0x1A  0x2B  0x3C  0x4D  0x5E  0x6F  0xF4,--PASS--NOPDCA--0x75  0x1A  0x2B  0x3C  0x4D  0x5E  0x6F  0xF4,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,PPVBUS_ORION,measure PPVBUS_ORION_CONN voltage,orion.dmm,10000,PPVBUS_ORION_CONN,,mV,4800,5250,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,PP5V2_VP,measure PP5V2_BELLATRIX2_BOOST_VOUT voltage,orion.dmm,10000,PP5V2_BELLATRIX2_BOOST_VOUT,,mV,4800,5250,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeLSAIDcomms_Boost5V,PP1V8_INT_ORION,measure PP1V8_INT_ORION voltage,orion.dmm,10000,PP1V8_INT_ORION,,mV,1700,1900,,,,Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion,ProviderModeiLimit_Boost5V_CVEload0A,SET_ELOAD_0A,set fixture CC load to 0,powerboard.seteload,10000,0,,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload0A,Turn_CC_ELoad_OFF,disconnected the cc eload,relay.relay,10000,PWR_ELoad_CTL,DISCONNECT,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload0A,OAB_CV_Load_Connect,PPVBUS_ORION connected to OAB3 CV load,relay.relay,10000,ZYNQ_DAC2_TO,OAB_CV_LOAD,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload0A,Delay_200MS,delay 200ms,delay.delay,10000,200,,ms,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload50mA,Set_Orion_ilimit,Internal bypass switch current limit 50mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x00,,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload50mA,Actual,measure cv_load current,orion.eloadcurr_cv,10000,OAB_ELOAD_CURRENT,4400,mA,63,90,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload250mA,Set_Orion_ilimit,Internal bypass switch current limit 250mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x01,,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload250mA,Actual,measure cv_load current,orion.eloadcurr_cv,10000,OAB_ELOAD_CURRENT,4400,mA,260,365,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload500mA,Set_Orion_ilimit,Internal bypass switch current limit 500mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x02,,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload500mA,Actual,measure cv_load current,orion.eloadcurr_cv,10000,OAB_ELOAD_CURRENT,4300,mA,510,635,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload1000mA,Set_Orion_ilimit,Internal bypass switch current limit 1000mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x03,,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload1000mA,Actual,measure cv_load current,orion.eloadcurr_cv,10000,OAB_ELOAD_CURRENT,4300,mA,1000,1400,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload2000mA,Set_Orion_ilimit,Internal bypass switch current limit 2000mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x04,,,,,,,,Orion_Provider_Mode_iLimit,100
Orion,ProviderModeiLimit_Boost5V_CVEload2000mA,Actual,measure cv_load current,orion.eloadcurr_cv,10000,OAB_ELOAD_CURRENT,4100,mA,1950,2500,,,,Orion_Provider_Mode_iLimit,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,Disable_Bellatrix_boost,disable PP5V2_BELLATRIX2_BOOST_VOUT,orion.diags,10000,socgpio --pin 139 --output 0,,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,SET_ELOAD_0A_1,set fixture CC load to 0,powerboard.seteload,10000,0,,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,DISABLE_OAB3_CV_Load,disconnected OAB3 cv_load,relay.relay,10000,OAB_CV_LOAD,DISCONNECT,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,Disable_Eload_Before_Connect,enable eload,fixture.sendcmd,10000,eload disable(1),,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,Set_Eload1_0mA_Before,cc load set to 0mA,fixture.sendcmd,10000,eload set(1*cc*0),,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,Enable_Eload1_After_Connect,enable eload1,fixture.sendcmd,10000,eload enable(1),,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,PP5V2_VP_PassThrough,measure PP5V2_BELLATRIX2_BOOST_VOUT voltage,dmm.dmm,10000,PP5V2_BELLATRIX2_BOOST_VOUT,,mV,3900,4350,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,Delay_100MS,delay 100ms,delay.delay,10000,100,,ms,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,BATT_CURRENT_without_Eload,measure ibatt,orion.efficiency_test,10000,Batt_Curr_INIT,,mA,35,200,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,PPVBUS_ORION,measure PPVBUS_ORION_CONN voltage,dmm.dmm,10000,PPVBUS_ORION_CONN,,mV,3900,4350,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,ELOAD_INPUT1_TO_ORION,PPVBUS_ORION connected to CC_load,relay.relay,10000,ELOAD_INPUT1_TO,ORION_CONN,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,50mA_level_set_1,Internal bypass switch current limit 50mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x00,,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,5mA_ELOAD_SET,cc load set to 5mA,powerboard.set_ccload,10000,eload set(1*cc*5),,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,10mA_ELOAD_SET,cc load set to 10mA,powerboard.set_ccload,10000,eload set(1*cc*10),,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,50mA_ELOAD_SET,cc load set to 50mA,powerboard.set_ccload,10000,eload set(1*cc*50),,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,Eload_Current_50mA_PassThrough_CC,measure cc load current,orion.dmm,10000,ELOAD_CURRENT_SENSE1,,mA,40,60,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,ELOAD_RESET_4,cc load set to 0mA,fixture.sendcmd,10000,eload set(1*cc*0),,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,Clear_Fault_4,Cleared the fault condition,orion.diags,10000,i2c -v 2 0x13 0x10 0x00,,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,Bellatrix_HWReset_3_LOOP_1,,orion.BellaTrix_Reset_LOOP,10000,,,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,2000mA_level_set_1,Internal bypass switch current limit 2000mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x04,,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,PPVBUS_ORION_2000mA_OC,measure PPVBUS_ORION_CONN voltage before testing 250mA,dmm.dmm,10000,PPVBUS_ORION_CONN,,mV,4800,5250,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,Eload_Current_2000mA_Setting_CC,,orion.eloadcurr_step_loop,200000,0.2,2-2.47-0.01,,1800,2600,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,Eload_Current_2000mA_Actual_CC,,orion.eloadcurr_step_loop,10000,Eload_Actual,,mA,2000,2500,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,PPVBUS_ORION_V_OC,measure PPVBUS_ORION_CONN voltage ,dmm.readvolt,10000,PPVBUS_ORION_CONN,,mV,-10,10,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeOCP_Boost5V_CCEload2000mA,ELOAD_RESET_5,cc load set to 0mA,fixture.sendcmd,10000,eload set(1*cc*0),,,,,,,,Orion_Provider_Mode_DCR,5
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Bellatrix_HWReset_3_LOOP_2,Internal bypass switch current limit 2000mA,orion.BellaTrix_Reset_LOOP,10000,,,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Delay_500MS_1_DEBUG,delay 500ms,delay.delay,10000,500,,ms,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Clear_Fault_5,Cleared the fault condition,orion.diags,10000,i2c -v 2 0x13 0x10 0x00,,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Delay_500MS_2,delay 500ms,delay.delay,10000,500,,ms,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,2000mA_level_set_2,Internal bypass switch current limit 2000mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x04,,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Set_Eload1_50mA,cc load set to 50mA,powerboard.seteccload,10000,eload set(1*cc*50),,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Delay_100MS,delay 100ms,delay.delay,10000,100,,ms,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Set_Eload1_200mA,cc load set to 200mA,powerboard.seteccload,10000,eload set(1*cc*200),,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Delay_100MS_2,delay 100ms,delay.delay,10000,100,,ms,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Set_Eload1_1500mA,cc load set to 1500mA,powerboard.seteccload,10000,eload set(1*cc*1500),,,,,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,ELOAD_CURRENT,measure eload,orion.efficiency_test,10000,OAB_ELOAD,,mA,1450,1550,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,BATT_CURRENT_with_1500mA_Eload_Boost_On,measure ibatt,orion.efficiency_test,10000,Batt_Curr_Boost,,mA,1800,2300,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Bellatrix_5v2_BST_Volt_with_1500mA_Eload_Boost_On,measure Bellatrix_5v2_BST_Volt,orion.efficiency_test,10000,VOUT_Boost,,mV,4800,5250,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,PPVCC_Main_with_Eload_Boost_On,measure PPVCC_Main voltage ,orion.efficiency_test,10000,VIN_Boost,,mV,4200,4400,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,Bellatrix_5V2_Efficiency,Bellatrix 5V2 Efficiency=ELOAD_CURRENT*BELLATRIX2_BOOST_VOUT/(Ibatt_withload_BST_ON-Ibatt_without_OFF)*PPVCC_Main with load,orion.efficiency_test,10000,result,,%,90,100,,,,Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,PP5V2_BELLATRIX2_BOOST,measure PP5V2_BELLATRIX2_BOOST_VOUT voltage,orion.dmm,10000,PP5V2_BELLATRIX2_BOOST_VOUT,,mV,4700,5200,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,PPVBUS_ORION,measure PPVBUS_ORION_CONN voltage,orion.dmm,10000,PPVBUS_ORION_CONN,,mV,4500,5100,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,EloadCurrent,measure cc load current,orion.dmm,10000,ELOAD_CURRENT_SENSE1,,mA,1350,1650,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,DCR,(PP5V2_BELLATRIX2_BOOST_VOUT - VBUS_ORION)/Eload,orion.dcr,10000,,,,0.02,0.22,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,ELOAD_RESET,cc load set to 0mA,fixture.sendcmd,10000,eload set(1*cc*0),,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,CCEload_Disable,CC Eload disable,fixture.sendcmd,10000,eload disable(1),,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Power_Eload_Turn_OFF,disable fixture cc load,relay.relay,10000,PWR_ELoad_CTL,DISCONNECT,,,,,,,Orion_Provider_Mode_DCR,5
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,ELOAD_INPUT1_Disconnect,disconnected the eload from PPVBUS_ORION,relay.relay,10000,ELOAD_INPUT1_TO,DISCONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Clear_Fault_6,Cleared the fault condition,orion.diags,10000,i2c -v 2 0x13 0x10 0x00,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,ADC_CTRL,0xA0 channel select for manual conversion and current sourcing conversion,orion.diags,10000,i2c -v 2 0x13 0xA0 0x02,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Bellatrix_HWReset_5,Orion reset,orion.diags,10000,socgpio --pin 139 --output 0;socgpio --pin 453 --output 0;socgpio --pin 453 --output 1;i2c -v 2 0x13 0x00 0x80;i2c -v 2 0x13 0x00 0x80;socgpio --pin 139 --output 1,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Bellatrix_HWReset_6,Orion reset,orion.diags,10000,socgpio --pin 139 --output 0;socgpio --pin 453 --output 0;socgpio --pin 453 --output 1;i2c -v 2 0x13 0x00 0x80;i2c -v 2 0x13 0x00 0x80;socgpio --pin 139 --output 1,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,LEVEL_50MA_SET,Internal bypass switch current limit 50mA,orion.diags,10000,i2c -v 2 0x13 0x02 0x00,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Disable_OAB3_PULL_DOWN_2,OAB3 pull down disable,fixture.sendcmd,10000,oab3 io set(PULL_DOWN*0),,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Disable_OAB3_PULL_UP_2,OAB3 pull up disable,fixture.sendcmd,10000,oab3 io set(PULL_UP*0),,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Bellatrix_HWReset_13,orion reset,orion.diags,10000,socgpio --pin 453 --output 0;socgpio --pin 453 --output 1;i2c -v 2 0x13 0x00 0x80;i2c -v 2 0x13 0x00 0x80,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,Orion_Isolate_Mode,Orion enter isolate mode,orion.diags,10000,i2c -v 2 0x13 0x00 0x91,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ProviderModeDCR_Boost5V_CCEload1500mA,VBUS_ORION_To_OAB3_DISCONNECT,disconnected PPVBUS_ORION_CONN,relay.relay,10000,PPVBUS_ORION_CONN,DISCONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ADCRead_IsolateMode_VBUS0V,ADC_External_VBUS_Power,Read the VBUS_ORION result from (i2c -d 2 0x13 0xA5 1 && i2c -d 2 0x13 0xA4 1)mV,orion.orion_test,10000,ADC,1,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,Set_VBAT_3V8,Set VBAT to 3.8V,powerboard.setbattvolt,10000,3.8,,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,VBUS_ORION_To_OAB3,,relay.relay,10000,PPVBUS_ORION_CONN,CONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,ORION_COMM_CONN_To_OAB3,,relay.relay,10000,ORION_COMM_CONN,CONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,Disconnect_USB_power,,relay.relay,10000,PPVBUS_USB_PWR,DISCONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,PPVBUS_ORION_FB_To_OAB3,,relay.relay,10000,PPVBUS_ORION_FB,CONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,GPIO_Disconn,,relay.relay,10000,CONTAMINATION_TEST_SEL,DISCONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,CC_FLOAT,,relay.relay,10000,VDM_CC1,DISCONNECT,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,aid_fw_control_stop,,fixture.sendcmd,10000,aid fw control(stop),,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
Orion,ConsumerModeHSAIDcomms_PPVBUS_ORION_9V3A,Disable_OAB3_PULL_DOWN,,fixture.sendcmd,10000,oab3 io set(PULL_DOWN*0),,,,,,,,Orion_Consumer_Mode_HSAID_COMMS,100
